ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_valid
978-0-519-60958-1,Networked analyzing groupware,Mr Mohammed Robinson,Young Adult,1973,0,2020-10-29,Available,True
978-1-912251-57-5,Mandatory didactic migration,Eileen Clark,Non-Fiction,1994,9,2025-08-03,Available,True
978-0-289-10411-8,Visionary 6thgeneration policy,Leon King,Non-Fiction,1962,10,2022-06-12,Damaged,True
978-0-625-84040-3,User-friendly zero administration paradigm,Catherine Davis,Young Adult,1990,6,2017-11-01,Missing,True
9781080828722,Visionary dedicated monitoring,Jeffrey Ahmed,Fiction,1950,0,2022-08-06,Available,True
978-1-65486-202-2,Team-oriented stable implementation,Janice Mitchell,Reference,1960,7,2019-02-22,Damaged,True
9780048916853,Reactive static standardization,Charlotte Singh-Ward,Children,1977,2,2024-09-01,Reserved,True
978-0-639-93197-5,Fully-configurable value-added definition,Lydia Ellis,Children,2017,3,2020-11-07,Reserved,True
978-1-77042-519-4,Reverse-engineered global conglomeration,Richard Smith,Non-Fiction,2015,7,2019-12-16,Available,True
978-1-945974-14-4,Inverse bi-directional moderator,Raymond Byrne,Children,1959,5,2016-11-08,Reserved,True
978-1-4345-9202-6,Universal bi-directional encryption,Ashleigh Wyatt-Lord,Young Adult,1988,6,2019-12-29,Missing,True
978-0-280-28735-3,Focused solution-oriented policy,Helen Whitehouse-Smith,Fiction,1964,7,2020-03-09,Available,True
978-1-84587-586-2,Streamlined context-sensitive open architecture,Dr Abigail Chapman,Reference,2007,0,2016-09-26,Checked Out,True
9781478961055,Ergonomic uniform interface,Mr Duncan Abbott,Young Adult,1968,8,2017-09-07,Checked Out,True
978-0-907504-33-7,Cross-platform high-level synergy,Mitchell Johnson,Fiction,1982,0,2024-11-27,Available,True
978-0-462-81593-0,Extended zero administration implementation,Tony Morris,Reference,1980,10,2022-10-08,Missing,True
978-0-16-064166-4,Profound attitude-oriented protocol,Harry Ward-Wood,Fiction,2019,3,2025-05-24,Reserved,True
978-0-11-979218-8,Fully-configurable background standardization,Mrs Kathryn Wilkinson,Reference,1964,2,2018-10-15,Checked Out,True
978-1-187-86385-5,Public-key executive task-force,Dale Ellis,Non-Fiction,1964,6,2023-06-10,Available,True
978-1-950355-88-4,Secured 6thgeneration project,Ms Alison Marsden,Fiction,1997,9,2019-02-13,Checked Out,True
978-1-4887-6970-2,Integrated contextually-based conglomeration,Mr Jonathan Stokes,Non-Fiction,1983,1,2023-08-17,Missing,True
9780370240244,Stand-alone bifurcated migration,Mitchell Powell,Non-Fiction,1967,10,2020-10-31,Reserved,True
978-1-86714-916-3,Reduced hybrid open architecture,Thomas Nicholson-Waters,Non-Fiction,2007,6,2021-07-12,Checked Out,True
978-0-01-184252-3,Optimized even-keeled adapter,Mrs June Flynn,Children,1968,10,2020-12-18,Available,True
978-0-917595-21-9,Horizontal hybrid collaboration,Mr Leon Stephenson,Non-Fiction,1961,3,2019-03-20,Available,True
978-1-76640-072-3,Assimilated demand-driven concept,Martin Ward-Hobbs,Fiction,2005,7,2021-03-04,Missing,True
978-1-282-85971-5,Digitized bifurcated Graphical User Interface,Arthur Parsons,Children,1987,2,2016-04-16,Missing,True
978-1-80498-750-6,Robust explicit capacity,Alexander Cooper-Jackson,Non-Fiction,1971,6,2017-07-08,Damaged,True
978-1-67977-175-0,Robust zero tolerance encoding,Annette Day,Fiction,1962,1,2016-12-25,Damaged,True
978-1-894445-17-7,Vision-oriented 5thgeneration definition,Caroline Black,Young Adult,2014,1,2022-12-18,Available,True
978-0-391-15843-6,Triple-buffered 6thgeneration budgetary management,Charlotte Smith,Young Adult,2009,8,2025-08-24,Damaged,True
9781227499358,Digitized exuding strategy,Donna Wilson,Non-Fiction,1950,2,2021-01-07,Reserved,True
978-0-10-488074-6,Future-proofed multi-tasking middleware,Victoria Talbot,Fiction,1992,3,2024-11-20,Missing,True
978-0-7862-8250-0,Sharable reciprocal product,Kieran Khan,Young Adult,1982,2,2023-01-24,Damaged,True
978-1-5299-9914-3,Ergonomic 24hour time-frame,Wendy Lambert,Young Adult,1979,0,2019-11-11,Checked Out,True
978-1-75951-865-7,Multi-tiered bifurcated extranet,Barbara Vaughan,Non-Fiction,1955,9,2018-07-04,Missing,True
978-0-600-53258-3,Virtual optimizing leverage,Dr Max Coles,Children,1960,7,2025-07-08,Reserved,True
978-0-210-69835-8,Persistent local encryption,Gerald Bartlett,Non-Fiction,1952,4,2025-05-15,Available,True
978-1-127-08345-9,Polarized didactic ability,Lee Webb,Children,1975,1,2025-05-04,Missing,True
978-0-9657387-3-6,Synergistic dedicated framework,Rosemary Morris,Reference,1985,1,2022-08-16,Available,True
978-1-04-657846-3,Object-based value-added implementation,Beverley Webb,Children,1953,7,2016-06-02,Reserved,True
978-0-13-265373-2,Face-to-face non-volatile knowledge user,Jeffrey Bentley,Children,1950,8,2025-03-23,Reserved,True
978-0-335-54992-4,Balanced multimedia implementation,Owen Mills,Reference,1990,2,2016-12-15,Missing,True
978-0-443-65915-7,Face-to-face cohesive methodology,Ms Vanessa Richards,Children,2002,7,2020-02-28,Damaged,True
978-0-423-70485-3,Multi-layered bandwidth-monitored core,Natalie Shaw,Fiction,1979,7,2025-05-27,Missing,True
978-1-61135-888-9,Grass-roots heuristic methodology,Hugh Davies,Children,2005,7,2016-01-12,Missing,True
978-1-59989-001-2,Customizable asynchronous monitoring,Jemma Shepherd,Young Adult,1956,0,2016-01-27,Missing,True
978-1-893082-10-6,Organic object-oriented architecture,Michael Lowe,Non-Fiction,1953,10,2020-07-26,Damaged,True
978-0-87456-347-4,Self-enabling scalable encoding,Jake Hicks,Young Adult,1984,10,2021-04-17,Reserved,True
978-0-930633-86-8,Self-enabling bi-directional interface,Ann Dyer,Fiction,1993,8,2020-04-16,Checked Out,True
978-0-17-827710-7,Virtual heuristic solution,Lydia Hooper,Children,1991,0,2022-06-05,Available,True
978-0-551-21383-8,Business-focused motivating encryption,Dorothy Gregory,Young Adult,1970,7,2017-12-06,Checked Out,True
978-1-226-42400-9,Versatile tangible benchmark,Dr Bradley Barker,Young Adult,2006,3,2019-05-29,Checked Out,True
978-1-4738-3336-4,Phased 6thgeneration knowledge user,Ms Jayne Brown,Reference,1973,9,2024-07-10,Available,True
978-1-05-244084-6,Proactive well-modulated intranet,Mr John Sims,Fiction,2020,3,2020-03-25,Checked Out,True
978-1-877811-64-7,Secured actuating capacity,Kayleigh O'Connor-Bond,Fiction,1996,1,2021-06-20,Available,True
978-1-367-63072-7,Universal needs-based knowledge user,Joan Peacock,Non-Fiction,1958,3,2019-05-04,Reserved,True
978-0-18-291313-8,Fully-configurable next generation implementation,Mr Francis Pearce,Fiction,2004,3,2023-12-12,Damaged,True
978-1-62222-544-6,Multi-tiered solution-oriented encryption,Reece Carr,Reference,1953,1,2017-09-27,Missing,True
978-1-69197-696-6,Exclusive dedicated ability,Dawn Scott,Reference,1955,5,2018-12-04,Available,True
9781967948475,Customer-focused uniform initiative,Christian Morris,Non-Fiction,1988,0,2021-07-04,Damaged,True
978-1-64830-988-5,Right-sized web-enabled application,Simon Rose,Children,1958,1,2016-04-21,Damaged,True
978-1-03-356264-2,Synergistic secondary application,Edward Campbell,Children,2010,1,2021-06-23,Available,True
978-0-495-72281-6,Multi-tiered 5thgeneration support,Dr Gemma Duncan,Young Adult,1956,10,2019-08-17,Damaged,True
978-1-9778-1976-5,Persevering upward-trending software,Mr Benjamin Rogers,Children,2019,5,2016-09-16,Damaged,True
978-1-956050-20-2,Object-based global architecture,Dr Diane Nelson,Reference,2005,8,2017-07-31,Missing,True
978-0-536-26396-4,Fully-configurable next generation Graphic Interface,Robin Foster-Evans,Young Adult,1974,10,2017-11-24,Available,True
978-1-66548-190-8,Customer-focused zero tolerance project,Marilyn Parker,Non-Fiction,1982,0,2025-04-25,Damaged,True
978-0-17-643996-5,Automated hybrid Local Area Network,Ms Holly Hall,Reference,1953,4,2022-09-27,Reserved,True
9781129725883,Phased bi-directional encryption,Gail Roberts,Reference,1960,3,2025-08-02,Missing,True
978-1-4289-0056-1,Persistent exuding architecture,Mr Brandon Moore,Reference,1965,9,2022-06-04,Available,True
9781044839177,Ergonomic user-facing utilization,Claire Moore,Fiction,1962,4,2023-01-05,Reserved,True
978-1-970415-74-2,De-engineered regional orchestration,Clare Kennedy-Evans,Young Adult,2013,6,2022-12-11,Damaged,True
9781829273073,Fully-configurable user-facing process improvement,Mr Francis Cross,Young Adult,2003,1,2025-08-24,Missing,True
978-1-85675-849-9,Right-sized 24hour productivity,Carolyn Davies,Children,1966,4,2020-07-23,Missing,True
978-1-57927-085-8,Multi-layered content-based support,Janice North,Young Adult,1953,1,2024-04-07,Damaged,True
978-1-344-84661-5,Sharable bi-directional intranet,Dr Samuel Miles,Fiction,2022,2,2018-02-24,Available,True
978-1-82981-320-0,De-engineered transitional methodology,Eleanor Jones,Young Adult,2004,4,2017-06-09,Reserved,True
978-0-554-83152-7,Universal client-driven open system,Karen Carr,Fiction,2011,7,2016-11-19,Available,True
978-1-85145-085-5,Fundamental regional projection,Diane Murray,Non-Fiction,1969,10,2018-09-06,Checked Out,True
978-1-80015-631-9,Future-proofed didactic Local Area Network,John Davies,Reference,1950,4,2018-11-09,Reserved,True
978-0-446-35852-1,Cross-group zero tolerance array,Helen Hughes,Non-Fiction,1989,7,2024-08-23,Missing,True
978-0-7705-7729-2,Phased holistic core,Gillian Roberts,Non-Fiction,2006,7,2019-02-05,Checked Out,True
978-1-329-46012-6,Upgradable multimedia monitoring,Callum Cook-Watson,Children,1974,2,2021-09-08,Available,True
978-0-89472-697-2,Business-focused methodical structure,Fiona Johnson,Reference,1995,10,2021-03-30,Missing,True
978-0-381-69750-1,Organized next generation emulation,Douglas Hill-Davis,Non-Fiction,2018,4,2019-03-27,Missing,True
978-0-354-66522-3,Programmable non-volatile knowledgebase,Ms Catherine Blackburn,Reference,2021,7,2022-06-05,Checked Out,True
9781010256984,Down-sized regional parallelism,Gerald Marshall-Morris,Children,2014,7,2021-07-01,Checked Out,True
978-0-468-98963-5,De-engineered maximized Local Area Network,Miss Julie Taylor,Young Adult,1971,9,2019-06-21,Missing,True
978-0-484-03628-3,Right-sized regional Graphic Interface,Miss Denise Shah,Non-Fiction,1977,10,2020-08-10,Reserved,True
978-1-09-268981-6,Digitized stable array,Kayleigh Saunders,Young Adult,1952,2,2024-06-08,Reserved,True
978-0-392-95786-1,Triple-buffered grid-enabled adapter,Dr Mohamed Willis,Fiction,1981,9,2018-12-23,Missing,True
978-0-08-000038-1,Customizable 4thgeneration throughput,Barry Cooke,Young Adult,2004,3,2017-07-10,Missing,True
978-0-910312-80-6,Organized static product,Hilary Goddard,Reference,1989,6,2021-11-20,Reserved,True
978-1-74622-696-1,Horizontal 5thgeneration methodology,Ms Teresa Black,Reference,1986,4,2022-01-29,Checked Out,True
978-0-455-54706-0,Automated responsive methodology,Richard Owen,Young Adult,1981,9,2015-10-30,Missing,True
978-0-9899790-1-6,Configurable mobile structure,Ms Hannah Lyons,Non-Fiction,1990,6,2025-05-09,Reserved,True
978-0-14-503315-6,Devolved demand-driven hierarchy,Bethan Edwards,Non-Fiction,1980,9,2017-09-30,Available,True
978-0-08-127499-6,Front-line radical artificial intelligence,Mr Paul Rahman,Reference,2020,6,2023-07-06,Damaged,True
978-0-284-01723-9,Fundamental tertiary firmware,Dr June Yates,Young Adult,1971,2,2022-10-11,Damaged,True
978-0-689-08268-9,Configurable foreground firmware,Elaine Freeman,Non-Fiction,1992,3,2021-08-10,Checked Out,True
978-0-491-98170-5,Streamlined 3rdgeneration budgetary management,Mrs Carly Atkinson,Children,1950,6,2020-04-05,Checked Out,True
978-1-4347-8217-5,Synergistic upward-trending data-warehouse,Lawrence Clark,Fiction,1963,6,2019-06-02,Damaged,True
978-1-64202-446-3,Innovative well-modulated collaboration,Ronald Jackson,Non-Fiction,1981,4,2019-06-25,Available,True
9780924209048,Distributed stable productivity,Miss Megan Noble,Fiction,1983,2,2021-10-12,Available,True
978-0-7807-7224-3,Function-based bi-directional focus group,Dr Jamie Kay,Children,2000,3,2025-09-02,Reserved,True
978-1-930506-99-2,Reactive mobile hub,Charles Hayes,Children,1972,6,2019-04-09,Checked Out,True
978-1-925987-64-5,Ameliorated well-modulated analyzer,Dr Mitchell Field,Young Adult,1971,8,2020-02-23,Missing,True
978-0-644-23701-7,Visionary secondary frame,Judith Taylor,Young Adult,1973,3,2019-06-10,Checked Out,True
978-1-177-57861-5,Streamlined coherent encoding,Dr Danny Richardson,Children,2008,0,2025-04-28,Reserved,True
978-1-62690-911-3,Seamless intermediate encoding,Mr Connor Cooper,Children,1984,5,2023-06-28,Reserved,True
978-0-7863-0701-2,Self-enabling responsive database,Mr Tom Mitchell,Fiction,1989,3,2023-06-14,Reserved,True
978-0-332-31649-9,Mandatory national initiative,Jemma Hamilton-Watson,Children,1968,1,2020-09-19,Available,True
978-0-307-14601-4,Automated regional pricing structure,Dr Jennifer Phillips,Fiction,2009,5,2016-05-31,Reserved,True
9780397303106,Multi-layered bandwidth-monitored toolset,Alex Reed,Reference,1983,4,2016-08-15,Missing,True
978-1-910764-32-9,Open-architected demand-driven benchmark,Lucy Smith-Sutton,Children,2011,10,2017-03-18,Reserved,True
978-1-4295-1538-2,Innovative bandwidth-monitored analyzer,Mr Dean Holland,Non-Fiction,1960,10,2020-08-05,Missing,True
9781066543113,Face-to-face scalable strategy,Mr Graeme Craig,Reference,1988,2,2018-03-04,Reserved,True
978-1-01-942285-4,De-engineered context-sensitive alliance,Caroline Barnes-Bailey,Young Adult,1980,8,2015-11-04,Available,True
978-0-05-047827-1,Pre-emptive dedicated function,Kyle Hall-Watson,Children,1959,2,2017-10-16,Missing,True
978-1-5267-4998-7,Programmable dynamic Graphical User Interface,Jordan Johnson-Harvey,Fiction,1965,6,2020-03-16,Reserved,True
9781660625932,Vision-oriented logistical matrix,Dawn Newton,Young Adult,1972,4,2023-12-08,Damaged,True
978-0-539-66086-9,Balanced zero tolerance function,Joel Allen,Children,1972,9,2015-11-01,Missing,True
978-1-149-68736-9,Quality-focused user-facing standardization,Sean Saunders,Reference,2006,2,2016-08-26,Reserved,True
978-0-493-16755-8,Total 4thgeneration project,Lydia Stewart,Young Adult,1976,5,2025-01-21,Checked Out,True
978-0-9563797-3-3,User-friendly web-enabled initiative,Dr Arthur Pearce,Reference,2017,7,2020-12-23,Reserved,True
978-0-9622314-2-1,Customer-focused bandwidth-monitored protocol,Mr Roger Smith,Reference,1965,5,2018-06-28,Checked Out,True
978-1-4440-7211-2,User-centric bottom-line conglomeration,Dr Andrea Bell,Fiction,1957,7,2023-10-18,Reserved,True
978-1-113-93530-4,Compatible optimal data-warehouse,Dr Raymond Stevens,Fiction,1983,5,2019-02-13,Available,True
978-1-77897-761-9,Down-sized leadingedge time-frame,Miss Victoria Cross,Reference,1978,4,2018-05-08,Damaged,True
978-1-100-96900-8,Future-proofed attitude-oriented migration,Vanessa Smith,Reference,1972,10,2019-11-08,Checked Out,True
978-0-666-10201-0,Cross-group tangible knowledge user,Shannon Clark-Pearson,Fiction,1993,7,2020-10-31,Missing,True
978-1-77310-110-1,Open-architected actuating ability,Sarah Morris,Non-Fiction,1983,5,2021-02-04,Checked Out,True
978-0-7061-2455-2,Multi-channeled bifurcated paradigm,Mrs Natalie Robinson,Fiction,1953,8,2024-12-27,Available,True
978-0-266-50980-6,Decentralized mission-critical productivity,Mr Terry Conway,Non-Fiction,1982,6,2019-12-17,Reserved,True
978-0-457-88471-2,Fundamental responsive database,Mrs Angela Brown,Non-Fiction,2011,8,2018-07-27,Damaged,True
978-0-582-84365-3,Optional motivating success,Dr Rosie Jones,Non-Fiction,1989,3,2022-01-26,Available,True
9780027891171,Up-sized fault-tolerant groupware,Dr Alexander Johnson,Fiction,1984,10,2019-02-08,Damaged,True
978-0-540-48345-7,Sharable uniform Local Area Network,Ms Kerry Rogers,Fiction,2004,6,2018-01-07,Missing,True
978-0-460-77818-3,Upgradable executive database,Leigh Wilson,Young Adult,1964,0,2024-04-25,Damaged,True
978-1-76505-476-7,Proactive empowering website,Gail Holt-Reeves,Reference,2002,3,2024-12-02,Damaged,True
978-1-82362-784-1,Upgradable client-server productivity,Jenna Adams,Children,1963,2,2016-03-07,Available,True
978-1-175-73228-6,Ergonomic intermediate budgetary management,Amber Griffiths,Reference,2012,9,2017-08-09,Available,True
978-0-87340-362-7,Polarized responsive groupware,Ms Leah Ward,Young Adult,1993,0,2017-01-24,Damaged,True
9780932674524,Team-oriented actuating model,Kirsty Davies,Fiction,1984,7,2016-01-14,Available,True
978-0-7311-6012-9,Horizontal uniform access,Mr Allan Holloway,Children,2024,0,2019-12-25,Available,True
978-1-81575-849-2,Realigned methodical help-desk,Edward Pearson-Barker,Fiction,1971,5,2017-05-18,Available,True
978-0-931993-89-3,Open-architected directional hierarchy,Ms Megan Green,Non-Fiction,1974,1,2018-03-12,Damaged,True
978-1-268-50385-4,Self-enabling zero administration access,Wendy Gough-Davis,Fiction,1950,4,2019-08-06,Available,True
978-0-01-632900-5,Business-focused fault-tolerant software,Mr Lee Flynn,Non-Fiction,2011,2,2022-04-30,Missing,True
978-1-07-331256-6,Total user-facing infrastructure,Holly Young,Reference,2019,6,2016-03-19,Missing,True
978-0-402-49988-6,Re-contextualized dynamic projection,Amelia Harvey-Chadwick,Non-Fiction,1967,1,2024-01-21,Checked Out,True
978-0-522-31284-3,Cross-group high-level productivity,Mr Bernard Jones,Fiction,2020,6,2019-07-18,Available,True
978-0-532-42547-2,Multi-channeled object-oriented Graphic Interface,Gordon Lord,Children,2020,4,2024-01-05,Checked Out,True
978-1-187-52882-2,Programmable bottom-line intranet,Amanda Walker,Children,1954,7,2017-02-08,Missing,True
978-1-224-31672-6,Business-focused neutral emulation,Martyn Lewis-Weston,Young Adult,1998,9,2022-09-05,Missing,True
978-0-08-622659-4,Configurable radical forecast,Lynne Lawrence,Young Adult,2014,4,2022-01-12,Checked Out,True
978-0-505-56297-5,Mandatory holistic parallelism,Caroline Duffy,Fiction,1957,10,2016-12-09,Available,True
978-0-19-851553-1,Realigned multimedia forecast,Dr Mitchell Waters,Children,1960,4,2019-04-11,Reserved,True
978-1-7365927-6-2,Optional asymmetric capability,Oliver Warner-Jones,Non-Fiction,1982,6,2023-05-20,Available,True
978-1-86504-870-3,Realigned local complexity,Stanley Hussain,Young Adult,1978,7,2025-09-06,Checked Out,True
978-1-76454-056-8,Balanced composite approach,Albert Bell-Norris,Non-Fiction,2018,6,2017-11-05,Available,True
978-1-58090-538-1,Advanced grid-enabled service-desk,Wendy Burton,Children,2024,5,2016-01-25,Checked Out,True
978-0-403-07030-5,Reactive motivating website,Leslie Graham,Reference,1991,9,2023-03-31,Missing,True
978-0-489-83763-2,Profit-focused optimizing groupware,Gavin Parker,Children,2008,5,2021-11-25,Damaged,True
978-0-654-77460-1,Configurable static artificial intelligence,Andrew Moore,Young Adult,1977,7,2024-07-17,Missing,True
978-0-635-87514-3,Object-based 3rdgeneration application,Sally Howell,Reference,1971,9,2015-11-28,Checked Out,True
978-1-03-449919-0,Multi-lateral upward-trending website,Scott Harper-Walker,Fiction,1993,5,2020-05-23,Damaged,True
978-0-354-49253-9,Up-sized actuating functionalities,Mr Neil Rose,Young Adult,2023,7,2016-11-21,Missing,True
978-1-4008-9387-4,Monitored fresh-thinking process improvement,Dr Mathew Watts,Reference,1976,6,2019-09-17,Damaged,True
978-1-4306-7387-3,Intuitive 6thgeneration collaboration,Abdul Williams,Young Adult,1952,7,2024-02-10,Reserved,True
978-0-18-481774-8,Managed foreground moderator,Heather Pratt-Pearson,Fiction,1955,5,2016-12-21,Missing,True
978-1-173-47422-5,Compatible optimal portal,Dawn Chapman,Non-Fiction,1984,10,2019-05-16,Missing,True
9781071020234,Horizontal real-time conglomeration,Mrs Irene Morgan,Fiction,1990,0,2019-10-24,Reserved,True
978-0-386-28981-7,Realigned reciprocal success,Josh Mitchell,Non-Fiction,2022,0,2017-05-18,Checked Out,True
978-0-07-826931-8,Synergistic didactic concept,Dr Lee Walker,Children,2005,0,2023-09-21,Checked Out,True
978-0-225-91633-1,Total empowering Graphical User Interface,Leanne Akhtar,Reference,1995,8,2016-11-19,Damaged,True
978-1-891198-31-1,Balanced discrete application,Glenn Evans-Porter,Reference,1999,6,2015-12-27,Available,True
978-1-184-40438-9,Triple-buffered 24hour methodology,Miss Abigail Hunt,Reference,2003,3,2023-07-26,Reserved,True
978-1-58644-526-3,Horizontal hybrid hierarchy,Jenna O'Brien,Children,2009,6,2022-11-05,Available,True
978-0-419-16288-9,Innovative even-keeled monitoring,Joanna Taylor,Young Adult,1991,1,2020-09-02,Checked Out,True
978-0-14-808102-4,Open-architected clear-thinking emulation,Geoffrey Martin,Fiction,1957,1,2021-12-20,Missing,True
978-0-930020-79-8,Advanced human-resource frame,Stuart Baker,Children,1966,6,2023-02-16,Checked Out,True
978-0-8174-4117-3,Balanced zero administration Local Area Network,Alice Ball,Non-Fiction,1998,4,2025-09-21,Reserved,True
978-1-66298-199-9,Persistent multimedia model,Debra Bond,Fiction,2017,0,2023-06-23,Checked Out,True
978-1-176-50360-1,Down-sized radical artificial intelligence,Raymond Brown,Children,1994,9,2022-07-12,Reserved,True
978-1-198-10984-3,Fundamental incremental functionalities,Mr Derek Parkinson,Fiction,2014,5,2021-01-25,Missing,True
9781523430406,Networked directional capacity,Ms Kim Middleton,Non-Fiction,1991,6,2021-09-16,Reserved,True
978-0-352-41544-8,Persevering regional structure,Gerard Shepherd-Reynolds,Non-Fiction,1993,2,2022-10-06,Reserved,True
9780120838929,Cross-platform asymmetric installation,Wendy Hughes,Non-Fiction,2010,7,2024-08-01,Missing,True
978-1-4183-8429-6,Synergized systematic data-warehouse,Rhys Gough,Children,1954,7,2025-09-07,Damaged,True
978-1-197-30141-5,Cross-platform bandwidth-monitored analyzer,Dr Albert Sutton,Children,1991,7,2020-10-22,Checked Out,True
978-1-67985-864-2,Synergized real-time approach,Dylan Black,Young Adult,1982,8,2021-02-26,Reserved,True
978-1-211-63340-9,Decentralized intermediate initiative,Gillian Young,Non-Fiction,1992,1,2018-01-30,Checked Out,True
978-0-7361-7984-3,Fundamental scalable monitoring,Josh Murray,Non-Fiction,1992,8,2023-11-26,Reserved,True
9781448531240,Virtual asymmetric methodology,Dr Dylan Mitchell,Young Adult,2008,9,2016-11-08,Available,True
978-1-897046-40-1,Business-focused bifurcated throughput,Ashley Hutchinson-Wright,Fiction,2012,5,2017-10-12,Checked Out,True
978-0-947262-16-7,Front-line asymmetric Graphical User Interface,Dale O'Donnell,Non-Fiction,2011,9,2016-08-27,Checked Out,True
978-1-355-13649-1,Front-line responsive adapter,Lorraine Roberts,Reference,1985,9,2022-08-08,Damaged,True
978-0-9672434-7-4,Automated attitude-oriented function,Graham Power,Children,1970,3,2016-10-10,Missing,True
978-0-697-42890-5,Networked hybrid open system,Abigail Ali,Young Adult,2013,4,2024-02-08,Missing,True
978-1-304-49796-3,Streamlined regional methodology,Brandon Little,Reference,1956,2,2016-09-21,Available,True
978-1-60670-012-9,Synergistic neutral adapter,Rachel Burns,Non-Fiction,2016,5,2016-06-22,Reserved,True
978-0-09-825334-2,Face-to-face impactful Graphical User Interface,Dr Francis Brown,Fiction,2006,0,2021-05-28,Available,True
978-0-365-95679-2,Re-engineered mission-critical architecture,Carolyn Davies-Fleming,Reference,1983,1,2022-08-22,Reserved,True
978-1-74945-288-6,Visionary scalable complexity,Mrs Teresa Marsh,Reference,1960,2,2025-02-16,Reserved,True
978-1-78092-273-7,Multi-lateral grid-enabled monitoring,Gregory Jones,Non-Fiction,2003,9,2017-03-31,Reserved,True
978-0-569-37468-2,Switchable homogeneous encryption,Owen Kerr,Young Adult,1990,3,2022-02-12,Missing,True
978-1-372-85839-0,Front-line static archive,Natasha Mann,Children,1958,3,2018-03-28,Missing,True
978-0-7377-1506-4,Compatible dynamic project,Peter Hobbs,Young Adult,1998,3,2025-01-03,Reserved,True
978-0-02-880733-1,Quality-focused discrete strategy,Jean Parker,Non-Fiction,1986,6,2020-09-17,Available,True
978-0-612-36528-5,Secured dedicated task-force,Lewis Wilson,Children,1966,6,2023-08-09,Checked Out,True
978-1-57445-825-1,Streamlined secondary knowledgebase,Chloe Wilson-James,Fiction,1984,0,2017-08-09,Missing,True
978-0-934530-39-2,Sharable holistic benchmark,Bradley Dickinson,Children,1968,0,2021-02-26,Damaged,True
978-0-395-03854-3,Extended dedicated interface,Miss Jayne Page,Non-Fiction,1976,4,2023-01-13,Damaged,True
978-0-09-667216-9,Down-sized foreground service-desk,Miss Rosemary Powell,Fiction,1958,8,2018-05-11,Missing,True
978-1-58508-086-1,Cloned 5thgeneration functionalities,Donald Hayes,Young Adult,2017,7,2022-04-29,Checked Out,True
978-0-8461-5965-0,Innovative discrete orchestration,Claire Ingram,Young Adult,1968,8,2015-10-22,Checked Out,True
978-1-886738-22-5,Networked full-range help-desk,Lawrence Wright,Young Adult,1994,9,2023-10-15,Checked Out,True
978-0-12-993152-2,Fully-configurable web-enabled access,Mark Holt,Non-Fiction,2014,0,2016-08-15,Reserved,True
978-1-234-31946-5,Mandatory value-added knowledgebase,Dorothy Richards-Edwards,Fiction,1958,7,2016-06-17,Available,True
978-1-62431-435-3,Optional 24/7 encoding,Lisa Rees-Robertson,Young Adult,1956,3,2017-08-07,Checked Out,True
978-1-128-09493-5,Advanced global service-desk,Dr Kenneth White,Non-Fiction,1957,8,2016-05-24,Reserved,True
978-1-67480-411-8,Innovative foreground knowledgebase,Ms Natalie Wright,Children,1986,1,2022-07-07,Missing,True
978-1-4606-7808-4,Ergonomic background contingency,Marion Murray-Waters,Children,1981,6,2017-10-05,Damaged,True
978-1-229-95521-0,Intuitive local concept,Connor Gibson-Bevan,Fiction,1973,10,2021-08-04,Available,True
978-1-55968-413-2,Reactive non-volatile structure,Marian Kaur,Reference,1975,1,2020-06-09,Checked Out,True
978-0-85692-028-8,Sharable well-modulated core,Ms Tina Price,Young Adult,2020,8,2023-12-10,Available,True
978-1-66731-584-3,Decentralized maximized attitude,Dr Dale Flynn,Non-Fiction,1958,0,2019-08-06,Missing,True
978-0-9907651-5-8,Digitized 4thgeneration time-frame,Maria Higgins,Non-Fiction,2003,7,2020-11-10,Damaged,True
978-1-06-784496-7,Fundamental attitude-oriented capability,Mr Justin Knowles,Young Adult,2008,7,2023-07-08,Damaged,True
978-1-00-698219-4,Distributed real-time approach,Jean Stephens,Non-Fiction,2003,5,2020-03-07,Damaged,True
978-1-86449-981-0,Monitored optimizing service-desk,Mrs Frances Baker,Young Adult,1989,5,2020-08-08,Reserved,True
978-1-02-197020-6,Operative directional flexibility,Timothy Thompson,Children,1992,9,2018-11-03,Available,True
978-0-415-21386-8,Polarized scalable function,Sian Williams,Non-Fiction,1982,8,2016-12-03,Available,True
9781907138454,Object-based multi-state focus group,Dr Tracey Sykes,Reference,1992,4,2024-06-02,Checked Out,True
978-1-388-93304-3,Horizontal non-volatile synergy,Joshua Fuller,Children,1964,1,2021-01-03,Available,True
978-0-238-67397-9,Right-sized human-resource algorithm,Marian Fletcher,Non-Fiction,1998,9,2015-10-15,Checked Out,True
978-0-499-03326-0,Exclusive bi-directional conglomeration,Dr Brandon Watkins,Reference,1990,5,2023-07-29,Checked Out,True
978-1-69836-713-2,Re-engineered 3rdgeneration neural-net,Jeremy Davis,Non-Fiction,1956,8,2016-05-05,Missing,True
978-1-240-12827-3,Ergonomic background hub,Sharon Nicholson-Clarke,Non-Fiction,1974,3,2020-12-08,Checked Out,True
978-0-657-02445-1,Distributed analyzing paradigm,Benjamin Harris,Fiction,1976,5,2016-12-14,Available,True
